Disease,Description
Fungal infection,Fungal infection is a common skin condition caused by fungi.
Allergy,Allergy is an immune system reaction to a substance in the environment.
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
hepatitis A,hepatitis A is a viral liver disease.
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.
Common Cold,Common Cold is a viral infection of the upper respiratory tract.
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs."
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.
Eczema,"Eczema is a chronic skin condition causing dry, itchy, and inflamed patches on the skin."
Contact Dermatitis,Contact Dermatitis is a skin rash caused by direct contact with an irritating substance or allergen.
Rosacea,"Rosacea is a chronic skin condition causing facial redness, visible blood vessels, and sometimes acne-like bumps."
Shingles,"Shingles is a painful skin rash caused by reactivation of the chickenpox virus, appearing as a band of blisters."
Urticaria,"Urticaria (hives) is a skin reaction causing itchy, raised welts that appear suddenly and may come and go."
COPD,COPD (Chronic Obstructive Pulmonary Disease) is a chronic lung disease causing breathing difficulties due to airflow obstruction.
Sinusitis,"Sinusitis is inflammation of the sinuses causing facial pain, nasal congestion, and thick nasal discharge."
Tonsillitis,"Tonsillitis is inflammation of the tonsils causing sore throat, difficulty swallowing, and fever."
Post-viral Cough,Post-viral cough is a persistent dry cough that continues for weeks after a viral respiratory infection.
Pharyngitis,Pharyngitis is inflammation of the throat (pharynx) causing sore throat and painful swallowing.
IBS,"IBS (Irritable Bowel Syndrome) is a digestive disorder causing abdominal cramping, bloating, and altered bowel habits."
Gastritis,"Gastritis is inflammation of the stomach lining causing upper abdominal pain, nausea, and burning sensation."
Food Poisoning,"Food Poisoning is illness caused by eating contaminated food, leading to vomiting, diarrhea, and abdominal cramps."
Peptic Ulcer,Peptic Ulcer is a sore in the lining of the stomach or small intestine causing burning stomach pain.
Tension Headache,Tension Headache is the most common type of headache causing a band-like pressure around the head.
Cervical Radiculopathy,Cervical Radiculopathy is neck pain that radiates to the arm due to nerve compression in the cervical spine.
Vertigo,Vertigo is a sensation of spinning or dizziness often caused by inner ear problems.
PCOS,"PCOS (Polycystic Ovary Syndrome) is a hormonal disorder causing irregular periods, excess hair growth, and ovarian cysts."
Viral Fever,"Viral Fever is a fever caused by viral infection, often accompanied by body aches and fatigue."
Flu,"Flu (Influenza) is a viral respiratory infection causing sudden fever, muscle aches, and extreme fatigue."
Angina,"Angina is chest discomfort caused by reduced blood flow to the heart, often triggered by physical activity."
Palpitations,"Palpitations are sensations of a racing, fluttering, or skipping heartbeat that are usually harmless."
Kidney Stones,Kidney Stones are hard deposits of minerals and salts that form in the kidneys causing severe flank pain.
Diaper Rash,Diaper Rash is skin irritation in the diaper area of babies causing redness and discomfort.
Otitis Media,Otitis Media is a middle ear infection common in children causing ear pain and fever.
Hand Foot Mouth Disease,Hand Foot Mouth Disease is a viral infection common in children causing mouth sores and rash on hands and feet.
Muscle Strain,Muscle Strain is an injury to a muscle or tendon caused by overstretching or tearing.
Sciatica,Sciatica is pain radiating along the sciatic nerve from the lower back down one or both legs.
Urinary Tract Infection,Urinary Tract Infection is an infection in any part of the urinary system causing burning and frequent urination.
COVID-19,"COVID-19 is a respiratory illness caused by the SARS-CoV-2 virus characterized by fever, cough, and loss of taste or smell."
Meningitis,"Meningitis is a serious inflammation of the membranes surrounding the brain and spinal cord, requiring immediate medical attention."
Anemia,"Anemia is a condition where there is a deficiency of red blood cells or hemoglobin, causing fatigue, weakness, and pale skin."
Conjunctivitis,"Conjunctivitis (Pink Eye) is inflammation of the transparent membrane lining the eyelid, causing redness, itching, and discharge."
Seborrheic Dermatitis,"Seborrheic Dermatitis is a common skin condition causing scaly patches, red skin, and stubborn dandruff affecting the scalp."
Ringworm,"Ringworm is a contagious fungal infection causing a ring-shaped, red, itchy rash on the skin."
