Disease,Diet
Fungal infection,"['Probiotic-rich foods', 'Garlic', 'Ginger', 'Coconut oil', 'Low-sugar diet', 'Apple cider vinegar', 'Avoid refined carbs', 'Hydration']"
Acne,"['Low-glycemic index diet', 'Zinc-rich foods', 'Omega-3 fatty acids', 'Antioxidants', 'Probiotics', 'Hydration', 'Green tea', 'Avoid dairy (if trigger)']"
Psoriasis,"['Anti-inflammatory diet', 'Gluten-free (if sensitive)', 'Omega-3s', 'Antioxidants', 'Weight management', 'Avoid alcohol', 'Turmeric', 'Vitamin D']"
Impetigo,"['High-protein for healing', 'Vitamin C and A', 'Zinc', 'Hydration', 'Fruits and vegetables', 'Whole foods']"
Chicken pox,"['Soft foods', 'Cool foods (popsycles)', 'Bland diet', 'Hydration', 'Avoid acidic/spicy foods', 'Smoothies', 'Mashed potatoes', 'Yogurt']"
Allergy,"['Anti-inflammatory foods', 'Local honey', 'Probiotics', 'Vitamin C rich foods', 'Omega-3 fatty acids', 'Ginger tea', 'Turmeric milk', 'Avoid known allergens']"
Drug Reaction,"['Bland diet', 'Clear fluids', 'Hydrating foods', 'Anti-inflammatory foods', 'Avoid spicy foods', 'Avoid processed foods']"
AIDS,"['High-protein diet', 'High-calorie foods', 'Plenty of fruits and vegetables', 'Whole grains', 'Healthy fats', 'Food safety (avoid raw eggs/meat)', 'Multivitamins', 'Hydration']"
GERD,"['Non-acidic foods', 'Oatmeal', 'Ginger', 'Green vegetables', 'Lean proteins', 'Egg whites', 'Bananas', 'Melon', 'Avoid spicy foods', 'Small frequent meals']"
Chronic cholestasis,"['Low-fat diet', 'High-fiber foods', 'Lean proteins', 'Fruits and vegetables', 'Whole grains', 'Avoiding alcohol', 'Plenty of water', 'Small frequent meals']"
Peptic ulcer disease,"['Probiotic-rich foods', 'Fiber-rich foods', 'Vitamin A rich foods', 'Flavonoid-rich foods', 'Avoid spicy foods', 'Avoid excessive caffeine', 'Avoid alcohol', 'Cooked vegetables']"
Gastroenteritis,"['BRAT diet (Bananas, Rice, Applesauce, Toast)', 'Clear broths', 'Crackers', 'Herbal tea', 'Avoid dairy', 'Avoid fatty/spicy foods', 'Electrolyte drinks', 'Boiled potatoes']"
Jaundice,"['High-carb diet', 'Low-fat diet', 'Moderate protein', 'Hydration', 'Fruits and vegetables', 'Avoid alcohol', 'Avoid raw fish', 'Coffee (in moderation may be protective)']"
