Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Precaution_5,Precaution_6,Precaution_7,Precaution_8
Fungal infection,Keep skin dry and clean,Avoid sharing personal items,Wear loose cotton clothes,Change socks daily,Dry skin thoroughly after bath,Use antifungal powder,Wash clothes in hot water,Avoid tight footwear
Acne,Keep face clean,Don't pop pimples,Use non-comedogenic products,Remove makeup,Shower after sweat,Sun protection,Avoid touching face,Manage stress
Psoriasis,Moisturize daily,"Avoid triggers (stress, injury)",Sun exposure (controlled),Quit smoking,Manage stress,Avoid scratching,Warm baths,Use humidifiers
Impetigo,Keep hygiene,Wash hands,Clip fingernails,Don't share towels/clothes,Wash linens in hot water,Keep sores covered,Stay home,Disinfect toys
Chicken pox,Isolate to prevent spread,Trim fingernails,Don't scratch blisters,Wear loose clothing,Daily bath with lukewarm water,Hand hygiene,Vaccination,Monitor for secondary infections
Allergy,Identify and avoid triggers,Keep windows closed during pollen season,Wear a mask in dusty areas,Wash hands frequently,Use hypoallergenic bedding,Shower after being outdoors,Avoid touching eyes,Carry allergy medication
Drug Reaction,Stop taking the suspected drug immediately,Seek medical attention if severe,Keep a record of drug allergies,Wear medical alert bracelet,Inform doctors about allergies,Avoid self-medication,Stay hydrated,Monitor vital signs
AIDS,Practice safe sex,Adhere strictly to ART (medication),Avoid sharing needles,Regular health check-ups,Hygiene maintenance,Avoid raw or undercooked food,Vaccinations (as advised),Stress management
GERD,Avoid lying down after eating,Elevate head while sleeping,Lose excess weight,Avoid alcohol and smoking,Avoid triggering foods,Eat slowly,Wear loose clothing,Don't eat late at night
Chronic cholestasis,Avoid alcohol completely,Maintain healthy weight,Follow prescribed medication strictly,Regular liver function tests,Avoid hepatotoxic drugs,Stay hydrated,Manage stress,Monitor symptoms
Peptic ulcer disease,Avoid NSAIDs (painkillers),Quit smoking,Limit alcohol intake,Manage stress,Eat small frequent meals,Don't eat right before bed,Chew food thoroughly,Follow hygiene to avoid H. pylori
Gastroenteritis,Frequent hand washing,Food hygiene,Drink safe/boiled water,Avoid sharing personal items,Rest as much as possible,Isolate to prevent spread,Disinfect surfaces,Hydrate frequently
Jaundice,Rest completely,Avoid alcohol,Avoid hepatotoxic medications,Hygiene,"Vaccination (Hep A, B)",Drink clean water,Safe sex practices,Regular blood tests
Dimorphic hemmorhoids(piles),Avoid straining,Don't delay bowel movement,Exercise regularly,Sitz baths,Avoid prolonged sitting,Cleanliness,Weight management,Manage constipation
hepatitis A,Hand washing,Safe food and water,Vaccination,Separate bathroom use if possible,Disinfect surfaces,Avoid sexual contact during infection,Rest,Personal hygiene
Hepatitis B,Vaccination,Safe sex,Avoid sharing needles/razors,Cover open cuts,Regular check-ups,Screening for liver cancer,Avoid alcohol,Inform partners
Hepatitis C,Avoid sharing needles/personal items,Cover wounds,Safe sex,Avoid alcohol,Regular medical monitoring,Vaccinate for Hep A/B,Review medications,Dental hygiene
Hepatitis D,Prevent Hep B infection (vaccine),Safe sex,Avoid IV drugs,Regular liver monitoring,Hygiene,Avoid hepatotoxins,Family screening,Support groups
Hepatitis E,Drink purified water,Proper sanitation,Hand washing,Avoid raw shellfish,Hygiene during pregnancy,Rest,Safe food practices,Disposal of waste
Alcoholic hepatitis,Stop drinking alcohol immediately,Join support group (AA),Regular checkups,Monitor weight,Infection prevention,Vaccinations,Avoid harmful drugs,Psychological counseling
Diabetes,Monitor blood sugar regularly,Foot care,Regular eye exams,Manage blood pressure,Manage cholesterol,Quit smoking,Limit alcohol,Stress management
Hypothyroidism,Regular thyroid function tests,Take medication empty stomach,Monitor weight,Skin care,Manage stress,Wear warm clothes,Regular exercise,Awareness of drug interactions
Hyperthyroidism,Stress management,Eye protection (if Graves'),Regular monitoring,Calcium intake,Avoid iodine supplements,Quit smoking,Heart rate monitoring,Cool environment
Hypoglycemia,Monitor blood sugar,Carry fast-acting sugar,Wear medical ID,Educate family/friends,Don't skip meals,Alcohol caution,Safety while driving,Regular check-ups
Bronchial Asthma,Identify and avoid triggers,Carry rescue inhaler,Get vaccinated (flu/pneumonia),Avoid smoking/secondhand smoke,Keep home dust-free,Monitor peak flow,Warm up before exercise,Stress control
