Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Symptom_18,Symptom_19,Symptom_20
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic_patches,redness_of_skin,ring_shaped_rash,itchy_scalp,dry_skin,blisters_on_skin,,,,,,,,,,,
Acne,skin_rash,pus_filled_pimples,blackheads,scurring,whiteheads,cysts,nodules,inflammation,oily_skin,,,,,,,,,,,
Psoriasis,skin_rash,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails,red_patches_of_skin,dry_cracked_skin,silvery_scales,cyclic_rashes,,,,,,,,,,,
Impetigo,skin_rash,blister,red_sore_around_nose,yellow_crust_ooze,itchy_rash,fluid_filled_sores,painful_sores,honey_colored_crusts,,,,,,,,,,,,
Chicken pox,itching,skin_rash,fatigue,high_fever,headache,small_fluid_filled_blisters,scabs,crusts,red_spots,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,itchy_eyes,red_eyes,swollen_eyes,runny_nose,skin_rash,hives,itchy_throat,shortness_of_breath,wheezing,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,hives,swelling_of_lips,swelling_of_face,wheezing,shortness_of_breath,redness_of_skin,,,,,,,,,,,
AIDS,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,fatigue,swollen_lymph_nodes,weight_loss,chronic_diarrhea,opportunistic_infections,,,,,,,,,,,
GERD,stomach_pain,acidity,ulcers_on_tongue,regurgitation_of_food,dysphagia,heartburn,burning_sensation_in_chest,bitter_taste,belching,,,,,,,,,,,
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,pale_stools,,,,,,,,,,,,
Peptic ulcer disease,vomiting,abdominal_pain,indigestion,burning_stomach_pain,feeling_full,bloating,belching,blood_in_vomit,dark_stool,,,,,,,,,,,
Gastroenteritis,vomiting,diarrhea,stomach_cramps,nausea,fever,dehydration,abdominal_pain,bloating,,,,,,,,,,,,
Jaundice,itching,yellowish_skin,dark_urine,pale_stool,abdominal_pain,fatigue,vomiting,yellowing_of_eyes,,,,,,,,,,,,
Dimorphic hemmorhoids(piles),constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus,itching,swelling_in_anal_region,lump_near_anus,,,,,,,,,,,,
hepatitis A,joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,fever,fatigue,clay_colored_stools,,,,,,,,,,
Hepatitis B,fatigue,yellowish_skin,dark_urine,abdominal_pain,loss_of_appetite,nausea,clay_colored_stools,joint_pain,,,,,,,,,,,,
Hepatitis C,fatigue,yellowish_skin,nausea,loss_of_appetite,dark_urine,clay_colored_stool,fever,abdominal_pain,,,,,,,,,,,,
Hepatitis D,joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,abdominal_pain,nausea,loss_of_appetite,confusion,bruising_easily,swelling_of_belly,itchy_skin,worsening_of_hep_b,fever,clay_colored_stools,,,,,
Hepatitis E,joint_pain,vomiting,fatigue,high_fever,yellowish_skin,nausea,dark_urine,loss_of_appetite,abdominal_pain,pale_stools,enlarged_liver,itching,skin_rash,weakness,,,,,,
Alcoholic hepatitis,vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,nausea,fever,fatigue,confusion,history_of_alcohol_consumption,,,,,,,,,,
Diabetes,weight_loss,polyuria,increased_thirst,increased_hunger,blurred_vision,frequent_infections,numbness_in_hands_feet,dry_skin,irregular_sugar_level,,,,,,,,,,,
Hypothyroidism,fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,brittle_nails,dry_skin,,,,,,,,,,,
Hyperthyroidism,weight_loss,restlessness,sweating,diarrhea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,palpitations,shaking/tremors,heat_sensitivity,goiter,,,,,,,,
Hypoglycemia,shakiness,dizziness,sweating,excessive_hunger,irritability,palpitations,confusion,slurred_speech,loss_of_consciousness,,,,,,,,,,,
Bronchial Asthma,cough,breathlessness,wheezing,chest_tightness,shortness_of_breath,difficulty_talking,allergy_signs,,,,,,,,,,,,,
Common Cold,continuous_sneezing,cough,headache,swollen_lymph_nodes,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,loss_of_smell,,,,,,,,,,
Pneumonia,cough,high_fever,breathlessness,phlegm,chest_pain,fast_heart_rate,rusty_sputum,chills,sweating,,,,,,,,,,,
